"#T in K" "#R_H in m**3 / C"
93.149999999999977 11.734956776464413
103.14999999999998 8.8633828190355519
113.14999999999998 6.8496096929023178
123.14999999999998 5.4662292578012233
133.14999999999998 4.4411623830727169
143.14999999999998 3.6978332192985155
153.14999999999998 3.1218477639746638
163.14999999999998 2.6826371483023226
173.14999999999998 2.3273185016102067
183.14999999999998 2.0378390470792151
193.14999999999998 1.8124394444194438
203.14999999999998 1.6103250333863675
213.14999999999998 1.4478368710628176
223.14999999999998 1.3088944317627305
233.14999999999998 1.188661928356034
243.14999999999998 1.0824232960031355
253.14999999999998 0.98772502219220748
263.14999999999998 0.89939767946107629
273.14999999999998 0.82938112518579898
