"#T in K" "#sigma in S / m"
93.149999999999977 2.0084566596194504
103.14999999999998 2.2274325908558033
113.14999999999998 2.3929471032745591
123.14999999999998 2.4869109947643979
133.14999999999998 2.513227513227513
143.14999999999998 2.4739583333333335
153.14999999999998 2.386934673366834
163.14999999999998 2.2727272727272729
173.14999999999998 2.1517553793884483
183.14999999999998 2.0255863539445631
193.14999999999998 1.9038076152304608
203.14999999999998 1.8026565464895636
213.14999999999998 1.7040358744394619
223.14999999999998 1.6253207869974338
233.14999999999998 1.5548281505728314
243.14999999999998 1.4937106918238994
253.14999999999998 1.4514896867838045
263.14999999999998 1.4492753623188406
273.14999999999998 1.8199233716475096
283.14999999999998 1.8563218390804597
293.14999999999998 2.4694189602446484
303.14999999999998 3.5185185185185186
313.14999999999998 4.8897058823529411
323.14999999999998 7.4656188605108058
333.14999999999998 10.881057268722467
343.14999999999998 15.375722543352603
353.14999999999998 21.637010676156581
362.54999999999995 29.564315352697097
373.84999999999997 41.780104712041883
382.54999999999995 53.370786516853933
393.94999999999999 73.076923076923094
403.75 93.492063492063494
413.25 114.62809917355372
422.25 138.03418803418805
